greek,english
έχει,he's got
ήταν,it was
αλλά,but
αυτό,this
ενώ,while
έχουν,they have
πως,how
είχε,he had
μου,my
δύο,two
κατά,against
μετά,after
πολύ,very
όπως,such as
ως,as
Δεν,Not
αυτή,she
καθώς,as
είπε,he said
οποία,who
σήμερα,today
όταν,when
μπορεί,it can
πιο,more
μέχρι,until
αν,if
χρόνια,years
μόνο,only
μέσα,inside
πρέπει,must
όμως,Nevertheless
κάθε,each
Ελλάδα,Hellas
Σύμφωνα,According
κάνει,do
ομάδα,club
δήλωσε,stated
όπου,where
Και,And
προς,to
Είναι,Is
σας,your
σύμφωνα,according
μαζί,together
πρώτη,first
όλα,all
ένας,a
κι,and
πριν,before
είχαν,they had
σου,your
έναν,one
χώρα,country
επίσης,also
ευρώ,euro
οποίο,of which
Από,From
κάτι,something
στιγμή,dot
υπάρχει,exists
έκανε,He made
έχουμε,we have
παιδιά,children
Ουκρανία,Ukraine
ακόμα,still
θέση,position
γιατί,why
αυτά,that's all
ώρα,time
ακόμη,yet
ζωή,life
μεταξύ,between
όχι,no
Την,Her
ίδια,itself
περιοχή,area
βρίσκεται,is located
οποίος,Any
πάνω,over
τόσο,such a
μην,do not
λόγω,because of
ανέφερε,reported
νέα,news
συνέχεια,Continuity
χωρίς,without
Όπως,Such as
έως,to
φορά,time
τώρα,now
πλέον,most
όσο,as much as
Ρωσία,Russia
σπίτι,home
Αυτό,This
Θα,I will
ετών,years
περίπου,about
εκεί,there
τέλος,end
γίνει,becomes
εδώ,here
κυβέρνηση,government
τελευταία,last
μεγάλη,great
ήδη,already
ΗΠΑ,USA
διάρκεια,duration
ενός,of a
αρχές,principles
τι,what
αυτές,they
πρόεδρος,chairman
υπάρχουν,there are
αναφέρει,reports
πίσω,back
σχέση,relationship
έγινε,done
αφορά,concerns
μέσω,via
όλους,everyone
τόνισε,he stressed
πολλά,many
πρώτο,first
όλοι,all
ώρες,hours
αναμένεται,is expected
κάποια,some
καλά,good
κατάσταση,condition
παιχνίδι,game
πληροφορίες,information
αγώνα,match
αποτέλεσμα,result
είμαι,I am
κόσμο,people
παιδί,child
θέμα,theme
χώρες,Countries
Ωστόσο,However
περίπτωση,case
ώστε,in order that
βρίσκονται,are found
φαίνεται,it looks
φορές,times
Όταν,When
μεγάλο,large
τρεις,three
τότε,then
υπουργός,Minister
γεγονός,fact
εκτός,except
λίγο,a little bit
μέρος,part
ποτέ,never
άλλη,other
αποτελεί,constitutes
αφού,after
εκατ,million
κυρίως,mainly
περισσότερο,more
σημείο,point
ωστόσο,however
ούτε,neither
χθες,yesterday
Ευρώπη,Europe
πάντα,always
γυναίκα,woman
λέει,says
νέο,new
ομάδες,groups
χρόνο,time
χώρας,country
Παράλληλα,Alongside
άνθρωποι,people
νίκη,win
πλαίσιο,frame
πρόσθεσε,added
σειρά,series
Μάλιστα,In fact
άλλες,others
άλλο,other
ίδιο,same
πολλές,a lot
άλλων,others
βράδυ,night
μπορούν,they can
πρωί,morning
πρόβλημα,problem
όσα,as many as
Ελλάδας,Greece
μάλιστα,in fact
πάλι,again
τρόπο,way
ανακοίνωσε,announced
μητέρα,mother
οποίες,which
πολίτες,citizens
όλες,all
Μετά,After
γίνεται,becomes
ημέρες,days
κάνουν,they do
κοντά,close
μιας,of a
πλευρά,side
πρώην,former
όλη,all
Αν,If
έτσι,so
μέρα,day
στοιχεία,data
χαρακτηριστικά,characteristics
Μια,A
ίδιος,own
δε,not
προκειμένου,in order to
σεζόν,season
υπόθεση,case
έχω,I have
επί,on
νοσοκομείο,hospital
επίθεση,attack
"ό,τι",that
όλο,all
απόφαση,decision
καλή,good
ομάδας,group
πρόκειται,it is about
Ήταν,It was
απόγευμα,afternoon
αύξηση,increase
είμαστε,we are
πέντε,five
πράγματα,things
πώς,how
βίντεο,video
ενέργειας,energy
ματς,match
σημείωσε,write down
σχεδόν,almost
